ds,after_mode,amount_final
2022/12/1,bike,0.014305532
2022/12/2,bike,0.008737082
2022/12/3,bike,0.009576091
2022/12/4,bike,0.016210685
2022/12/5,bike,0.018607191
2022/12/6,bike,0.019546855
2022/12/7,bike,0.023761103
2022/12/8,bike,0.039286409
2022/12/9,bike,0.030593694
2022/12/10,bike,0.021900979
2022/12/11,bike,0.019587249
2022/12/12,bike,0.018502563
2022/12/13,bike,0.018533687
2022/12/14,bike,0.01856481
2022/12/15,bike,0.017552305
2022/12/16,bike,0.016233199
2022/12/17,bike,0.017101677
2022/12/18,bike,0.017970153
2022/12/19,bike,0.021026211
2022/12/20,bike,0.020503735
2022/12/21,bike,0.047799005
2022/12/22,bike,0.032063905
2022/12/23,bike,0.016328804
2022/12/24,bike,0.01789847
2022/12/25,bike,0.024203453
2022/12/26,bike,0.049037984
2022/12/27,bike,0.050676269
2022/12/28,bike,0.03067382
2022/12/29,bike,0.041749135
2022/12/30,bike,0.032232973
2022/12/31,bike,0.032268898
2023/1/1,bike,0.032304822
2023/1/2,bike,0.039101655
2023/1/3,bike,0.109128767
2023/1/4,bike,0.078033124
2023/1/5,bike,0.085459048
2023/1/6,bike,0.069735744
2023/1/7,bike,0.065501298
2023/1/8,bike,0.139527278
2023/1/9,bike,0.213553257
2023/1/10,bike,0.239253947
2023/1/11,bike,0.180398169
2023/1/12,bike,0.164502692
2023/1/13,bike,0.140534444
2023/1/14,bike,0.116566197
2023/1/15,bike,0.134712081
2023/1/16,bike,0.171478981
2023/1/17,bike,0.137041871
2023/1/18,bike,0.129106052
2023/1/19,bike,0.125406997
2023/1/20,bike,0.040637962
2023/1/21,bike,0.028992161
2023/1/22,bike,0.01734636
2023/1/23,bike,0.017151425
2023/1/24,bike,0.016956489
2023/1/25,bike,0.018727049
2023/1/26,bike,0.01785162
2023/1/27,bike,0.020981182
2023/1/28,bike,0.024110745
2023/1/29,bike,0.126231437
2023/1/30,bike,0.253713772
2023/1/31,bike,0.288131678
2023/2/1,bike,0.304274156
2023/2/2,bike,0.228855402
2023/2/3,bike,0.175616745
2023/2/4,bike,0.154941666
2023/2/5,bike,0.319963605
2023/2/6,bike,0.484985546
2023/2/7,bike,0.719427939
2023/2/8,bike,0.409270788
2023/2/9,bike,0.357310511
2023/2/10,bike,0.285125491
2023/2/11,bike,0.212940473
2023/2/12,bike,0.28554661
2023/2/13,bike,0.439298962
2023/2/14,bike,0.522854182
2023/2/15,bike,0.52982385
2023/2/16,bike,0.503008676
2023/2/17,bike,0.371885558
2023/2/18,bike,0.326601924
2023/2/19,bike,0.504371981
2023/2/20,bike,0.682142039
2023/2/21,bike,0.758819638
2023/2/22,bike,0.804464503
2023/2/23,bike,1.003825464
2023/2/24,bike,0.632287561
2023/2/25,bike,0.512308959
2023/2/26,bike,0.662108964
2023/2/27,bike,0.811908968
2023/2/28,bike,0.911435157
2023/3/1,bike,0.882463855
2023/3/2,bike,1.025436399
2023/3/3,bike,0.756725592
2023/3/4,bike,0.733319512
2023/3/5,bike,0.939361794
2023/3/6,bike,1.145404076
2023/3/7,bike,1.289452035
2023/3/8,bike,1.326247243
2023/3/9,bike,1.60618683
2023/3/10,bike,1.130099613
2023/3/11,bike,0.943483209
2023/3/12,bike,1.273555979
2023/3/13,bike,1.603628748
2023/3/14,bike,1.440672295
2023/3/15,bike,1.238665841
2023/3/16,bike,1.582364805
