ds,after_mode,amount_final
2022-12-01,bus,0.496510263
2022-12-02,bus,0.33595844
2022-12-03,bus,0.105074373
2022-12-04,bus,0.313155795
2022-12-05,bus,0.386600546
2022-12-06,bus,0.508705908
2022-12-07,bus,0.410115747
2022-12-08,bus,0.379542347
2022-12-09,bus,0.348968947
2022-12-10,bus,0.307287693
2022-12-11,bus,0.286447065
2022-12-12,bus,0.265606438
2022-12-13,bus,0.161856776
2022-12-14,bus,0.115292528
2022-12-15,bus,0.396558866
2022-12-16,bus,0.364685413
2022-12-17,bus,0.33281196
2022-12-18,bus,0.11981539
2022-12-19,bus,0.337075234
2022-12-20,bus,0.270909052
2022-12-21,bus,0.576373371
2022-12-22,bus,0.483676358
2022-12-23,bus,0.47645517
2022-12-24,bus,0.469233983
2022-12-25,bus,0.536615142
2022-12-26,bus,0.603996302
2022-12-27,bus,0.388143021
2022-12-28,bus,0.764512822
2022-12-29,bus,0.69762721
2022-12-30,bus,0.486528126
2022-12-31,bus,1.243823852
2023-01-01,bus,2.001119578
2023-01-02,bus,1.709528385
2023-01-03,bus,2.300274207
2023-01-04,bus,2.891020029
2023-01-05,bus,2.518059503
2023-01-06,bus,2.565272871
2023-01-07,bus,2.762897714
2023-01-08,bus,2.960522558
2023-01-09,bus,3.341633101
2023-01-10,bus,3.531145574
2023-01-11,bus,3.253008784
2023-01-12,bus,2.974871994
2023-01-13,bus,1.634636507
2023-01-14,bus,1.839534552
2023-01-15,bus,2.044432596
2023-01-16,bus,2.214725289
2023-01-17,bus,2.385017983
2023-01-18,bus,2.573695972
2023-01-19,bus,2.76237396
2023-01-20,bus,0.98923743
2023-01-21,bus,0.344220877
2023-01-22,bus,0.539631427
2023-01-23,bus,0.629485182
2023-01-24,bus,0.451443326
2023-01-25,bus,0.524718398
2023-01-26,bus,0.633189524
2023-01-27,bus,0.518211105
2023-01-28,bus,1.351688478
2023-01-29,bus,1.620796416
2023-01-30,bus,1.936145267
2023-01-31,bus,2.191867417
2023-02-01,bus,4.080181538
2023-02-02,bus,3.19340459
2023-02-03,bus,2.306627643
2023-02-04,bus,2.461181951
2023-02-05,bus,2.615736258
2023-02-06,bus,3.761413719
2023-02-07,bus,4.907091178
2023-02-08,bus,4.539036356
2023-02-09,bus,4.512990112
2023-02-10,bus,3.60209852
2023-02-11,bus,3.27673023
2023-02-12,bus,2.951361938
2023-02-13,bus,5.315344053
2023-02-14,bus,5.562656506
2023-02-15,bus,5.460162991
2023-02-16,bus,5.820176698
2023-02-17,bus,5.547251748
2023-02-18,bus,5.274326799
2023-02-19,bus,4.355386824
2023-02-20,bus,6.009415786
2023-02-21,bus,6.087300531
2023-02-22,bus,5.441717667
2023-02-23,bus,5.06338404
2023-02-24,bus,4.685050414
2023-02-25,bus,4.932291137
2023-02-26,bus,5.17953186
2023-02-27,bus,9.35398093
2023-02-28,bus,8.662568564
2023-03-01,bus,10.30931322
2023-03-02,bus,12.92106908
2023-03-03,bus,12.034387
2023-03-04,bus,11.14770491
2023-03-05,bus,11.44389458
2023-03-06,bus,11.74008425
2023-03-07,bus,11.6007301
2023-03-08,bus,13.24020283
2023-03-09,bus,16.67334709
2023-03-10,bus,17.40496056
2023-03-11,bus,11.86679541
2023-03-12,bus,14.69913545
2023-03-13,bus,14.83871846
2023-03-14,bus,14.97830147
2023-03-15,bus,13.12403649
2023-03-16,bus,14.91318909
2023-03-17,bus,14.85300993
2023-03-18,bus,14.79283078
2023-03-19,bus,16.15784659
2023-03-20,bus,17.52286239
2023-03-21,bus,13.91258772
2023-03-22,bus,13.36325769
2023-03-23,bus,15.46350976
2023-03-24,bus,16.54874232
2023-03-25,bus,12.40949896
2023-03-26,bus,15.31941755
2023-03-27,bus,18.22933615
2023-03-28,bus,17.0639243
2023-03-29,bus,15.89885767
2023-03-30,bus,19.34246177
2023-03-31,bus,17.81858003
2023-04-01,bus,16.2946983
2023-04-02,bus,14.95726261
2023-04-03,bus,20.76215253
2023-04-04,bus,14.58652769
2023-04-05,bus,15.0735195
2023-04-06,bus,15.56051131
2023-04-07,bus,16.99904611
2023-04-08,bus,18.43758091
2023-04-09,bus,18.80502995
2023-04-10,bus,21.67521508
2023-04-11,bus,24.5454002
2023-04-12,bus,22.88877949
2023-04-13,bus,33.20591087
2023-04-14,bus,36.73141319
2023-04-15,bus,34.50581879
2023-04-16,bus,32.28022439
2023-04-17,bus,35.31649933
2023-04-18,bus,35.15100085
2023-04-19,bus,34.98550236
2023-04-20,bus,40.86961234
2023-04-21,bus,38.5089435
2023-04-22,bus,36.14827465
2023-04-23,bus,34.34849871
2023-04-24,bus,36.42428633
2023-04-25,bus,35.41331916
2023-04-26,bus,34.40235199
2023-04-27,bus,38.66912411
2023-04-28,bus,46.26225493
2023-04-29,bus,53.85538573
2023-04-30,bus,33.1466556
2023-05-01,bus,23.42132216
2023-05-02,bus,23.17049327
2023-05-03,bus,22.91966439
2023-05-04,bus,28.2076309
2023-05-05,bus,61.6521552
2023-05-06,bus,57.8635943
2023-05-07,bus,54.07503341
2023-05-08,bus,37.95982609
2023-05-09,bus,34.43457808
2023-05-10,bus,36.20422121
2023-05-11,bus,61.86607053
2023-05-12,bus,67.07365943
2023-05-13,bus,72.28124832
2023-05-14,bus,30.19401843
2023-05-15,bus,36.50632042
2023-05-16,bus,36.11355757
2023-05-17,bus,33.24791451
2023-05-18,bus,35.73938571
2023-05-19,bus,52.30330823
2023-05-20,bus,68.86723076
2023-05-21,bus,53.01954388
2023-05-22,bus,37.171857
2023-05-23,bus,34.86385111
2023-05-24,bus,31.90618196
2023-05-25,bus,33.22766648
2023-05-26,bus,46.03678188
2023-05-27,bus,58.84589729
2023-05-28,bus,44.75970514
2023-05-29,bus,30.67351301
2023-05-30,bus,35.68781927
2023-05-31,bus,31.26878594
2023-06-01,bus,35.45651469
2023-06-02,bus,53.09908352
2023-06-03,bus,70.74165235
2023-06-04,bus,54.2810089
2023-06-05,bus,37.82036546
2023-06-06,bus,41.54716565
2023-06-07,bus,40.84281855
2023-06-08,bus,40.13847146
2023-06-09,bus,60.64797354
2023-06-10,bus,81.15747561
2023-06-11,bus,60.57752571
2023-06-12,bus,39.9975758
2023-06-13,bus,39.72754618
2023-06-14,bus,39.73655217
2023-06-15,bus,42.83752272
2023-06-16,bus,55.32450034
2023-06-17,bus,67.81147795
2023-06-18,bus,54.10547327
2023-06-19,bus,40.39946859
2023-06-20,bus,45.36378224
2023-06-21,bus,45.75067578
2023-06-22,bus,51.85275338
2023-06-23,bus,57.95483097
2023-06-24,bus,47.23526538
2023-06-25,bus,36.51569979
2023-06-26,bus,43.79455359
2023-06-27,bus,47.84854593
2023-06-28,bus,47.94481673
2023-06-29,bus,47.67000176
2023-06-30,bus,65.82902527
2023-07-01,bus,74.90853703
2023-07-02,bus,83.9880488
2023-07-03,bus,52.92372112
2023-07-04,bus,53.26558462
2023-07-05,bus,58.39564884
2023-07-06,bus,59.11414742
2023-07-07,bus,85.23653955
2023-07-08,bus,111.3589317
2023-07-09,bus,90.12163164
2023-07-10,bus,68.88433158
2023-07-11,bus,56.30552705
2023-07-12,bus,57.77586193
2023-07-13,bus,69.96720429
2023-07-14,bus,77.26405487
2023-07-15,bus,84.56090544
2023-07-16,bus,99.15460665
2023-07-17,bus,79.60715656
2023-07-18,bus,80.11368275
2023-07-19,bus,81.79274485
2023-07-20,bus,79.38786529
2023-07-21,bus,90.79767758
2023-07-22,bus,102.2074899
2023-07-23,bus,96.96747889
2023-07-24,bus,91.72746787
2023-07-25,bus,84.11389303
2023-07-26,bus,102.7091056
2023-07-27,bus,95.22014725
2023-07-28,bus,115.1794723
2023-07-29,bus,135.1387976
2023-07-30,bus,117.7142998
2023-07-31,bus,100.289802
2023-08-01,bus,102.8733839
2023-08-02,bus,138.3536499
2023-08-03,bus,136.8904145
2023-08-04,bus,135.427179
2023-08-05,bus,132.5007081
2023-08-06,bus,126.2787787
2023-08-07,bus,127.537862
2023-08-08,bus,124.0622635
2023-08-09,bus,116.9520966
2023-08-10,bus,109.8419297
2023-08-11,bus,123.5361426
2023-08-12,bus,137.2303554
2023-08-13,bus,109.9713732
2023-08-14,bus,118.7094476
2023-08-15,bus,120.9267177
2023-08-16,bus,118.1094039
2023-08-17,bus,105.2559893
2023-08-18,bus,131.7358895
2023-08-19,bus,158.2157897
2023-08-20,bus,130.9909048
2023-08-21,bus,103.76602
2023-08-22,bus,125.4963836
2023-08-23,bus,138.4147162
2023-08-24,bus,157.7922151
2023-08-25,bus,151.3330488
2023-08-26,bus,177.1697139
2023-08-27,bus,146.9677157
2023-08-28,bus,116.7657174
2023-08-29,bus,116.0226828
2023-08-30,bus,110.8597968
2023-08-31,bus,114.0492736
2023-09-01,bus,139.9030214
2023-09-02,bus,165.7567692
2023-09-03,bus,138.3740956
2023-09-04,bus,110.9914219
2023-09-05,bus,109.7621623
2023-09-06,bus,110.8789062
2023-09-07,bus,111.4446675
2023-09-08,bus,116.0255444
2023-09-09,bus,120.6064214
2023-09-10,bus,115.5111007
2023-09-11,bus,110.41578
2023-09-12,bus,111.3293636
2023-09-13,bus,125.4513273
2023-09-14,bus,112.2429471
2023-09-15,bus,139.5732911
2023-09-16,bus,166.9036352
2023-09-17,bus,136.4311319
2023-09-18,bus,124.4004038
2023-09-19,bus,105.9586286
2023-09-20,bus,112.3696756
2023-09-21,bus,117.1104154
2023-09-22,bus,151.2227205
2023-09-23,bus,153.4436876
2023-09-24,bus,149.8646495
2023-09-25,bus,114.3942732
2023-09-26,bus,120.2506044
2023-09-27,bus,116.0592826
2023-09-28,bus,126.1069356
2023-09-29,bus,132.0839623
2023-09-30,bus,136.1545886
2023-10-01,bus,140.2252149
2023-10-02,bus,135.0053512
2023-10-03,bus,139.2070117
2023-10-04,bus,142.7281089
2023-10-05,bus,149.9403479
2023-10-06,bus,123.8018309
2023-10-07,bus,116.1197514
2023-10-08,bus,108.4376718
2023-10-09,bus,114.0163949
2023-10-10,bus,117.4147622
2023-10-11,bus,120.8131296
2023-10-12,bus,119.143451
2023-10-13,bus,113.546379
2023-10-14,bus,135.4309009
2023-10-15,bus,157.3154229
2023-10-16,bus,112.5403219
2023-10-17,bus,122.212709
2023-10-18,bus,112.5836149
2023-10-19,bus,145.6052785
2023-10-20,bus,151.7836323
2023-10-21,bus,163.4694946
2023-10-22,bus,175.155357
2023-10-23,bus,130.4168993
2023-10-24,bus,133.0994003
2023-10-25,bus,110.8049801
2023-10-26,bus,125.9654336
2023-10-27,bus,171.8616738
2023-10-28,bus,217.7579139
2023-10-29,bus,171.850234
2023-10-30,bus,125.9425542
2023-10-31,bus,123.7186578
2023-11-01,bus,142.2284218
2023-11-02,bus,121.4947614
2023-11-03,bus,160.7381859
2023-11-04,bus,199.9816104
2023-11-05,bus,162.8931139
2023-11-06,bus,162.893114
2023-11-07,bus,125.8046175
2023-11-08,bus,125.2921188
2023-11-09,bus,119.1134185
2023-11-10,bus,137.8522619
2023-11-11,bus,156.5911051
2023-11-12,bus,166.1381318
2023-11-13,bus,160.6939651
2023-11-14,bus,159.5409019
2023-11-15,bus,160.5333904
2023-11-16,bus,155.2497984
2023-11-17,bus,158.3878387
2023-11-18,bus,161.5258788
2023-11-19,bus,139.2716415
2023-11-20,bus,157.9561661
2023-11-21,bus,120.7329122
2023-11-22,bus,117.0174041
2023-11-23,bus,176.6406907
2023-11-24,bus,160.8065975
2023-11-25,bus,144.9725043
2023-11-26,bus,150.430401
2023-11-27,bus,149.1230721
2023-11-28,bus,158.706848
2023-11-29,bus,155.8882977
2023-11-30,bus,191.1836894
2023-12-01,bus,168.2906238
2023-12-02,bus,145.3975584
2023-12-03,bus,166.3912827
2023-12-04,bus,155.0538573
2023-12-05,bus,152.7806477
2023-12-06,,143.7164318
2023-12-07,,160.9357455
2023-12-08,,150.5074382
2023-12-09,,140.079131
2023-12-10,,148.4657874
2023-12-11,,142.0243455
2023-12-12,,143.9695598
2023-12-13,,156.8524438
2023-12-14,,159.1821084
2023-12-15,,166.5530512
2023-12-16,,160.5040248
2023-12-17,,167.412923
2023-12-18,,173.7315457
2023-12-19,,174.5746842
2023-12-20,,176.2803269
2023-12-21,,176.9041195
2023-12-22,,179.5649528
2023-12-23,,181.518597
2023-12-24,,184.6737848
2023-12-25,,187.26538
2023-12-26,,180.1116922
2023-12-27,,184.7016498
2023-12-28,,191.3931322
2023-12-29,,188.043286
2023-12-30,,191.1337792
