ds,after_mode,amount_final
2022/12/1,subway,0.127063338
2022/12/2,subway,0.262768504
2022/12/3,subway,0.297363986
2022/12/4,subway,0.24845136
2022/12/5,subway,0.263277741
2022/12/6,subway,0.278104123
2022/12/7,subway,0.269008824
2022/12/8,subway,0.264461175
2022/12/9,subway,0.259913526
2022/12/10,subway,0.183120807
2022/12/11,subway,0.205864521
2022/12/12,subway,0.228608236
2022/12/13,subway,0.194384714
2022/12/14,subway,0.192009353
2022/12/15,subway,0.190821672
2022/12/16,subway,0.189633991
2022/12/17,subway,0.271246823
2022/12/18,subway,0.259505396
2022/12/19,subway,0.247763967
2022/12/20,subway,0.352260327
2022/12/21,subway,0.27537178
2022/12/22,subway,0.492471557
2022/12/23,subway,0.449386607
2022/12/24,subway,0.406301654
2022/12/25,subway,0.612865045
2022/12/26,subway,0.604824489
2022/12/27,subway,0.532272818
2022/12/28,subway,0.837281695
2022/12/29,subway,1.202784248
2022/12/30,subway,1.190380697
2022/12/31,subway,1.177977145
2023/1/1,subway,2.165563431
2023/1/2,subway,2.047099961
2023/1/3,subway,3.155642385
2023/1/4,subway,4.264184809
2023/1/5,subway,4.321168082
2023/1/6,subway,4.140892183
2023/1/7,subway,3.960616283
2023/1/8,subway,4.970844814
2023/1/9,subway,3.722676349
2023/1/10,subway,4.875074412
2023/1/11,subway,5.382333191
2023/1/12,subway,5.889591972
2023/1/13,subway,4.291064807
2023/1/14,subway,2.692537641
2023/1/15,subway,3.315674941
2023/1/16,subway,3.957111833
2023/1/17,subway,2.161491341
2023/1/18,subway,2.662198321
2023/1/19,subway,3.1629053
2023/1/20,subway,1.764287172
2023/1/21,subway,1.281927275
2023/1/22,subway,0.79956738
2023/1/23,subway,0.67328668
2023/1/24,subway,0.702915445
2023/1/25,subway,0.73254421
2023/1/26,subway,0.914014261
2023/1/27,subway,0.959522315
2023/1/28,subway,2.120330677
2023/1/29,subway,3.018444058
2023/1/30,subway,3.695068202
2023/1/31,subway,4.19643724
2023/2/1,subway,4.692457337
2023/2/2,subway,4.640138331
2023/2/3,subway,4.587819325
2023/2/4,subway,3.987161218
2023/2/5,subway,4.516167164
2023/2/6,subway,8.012181367
2023/2/7,subway,8.862273247
2023/2/8,subway,8.713914931
2023/2/9,subway,8.565556617
2023/2/10,subway,6.958290021
2023/2/11,subway,5.351023426
2023/2/12,subway,8.526794595
2023/2/13,subway,9.295144319
2023/2/14,subway,10.06349404
2023/2/15,subway,9.07281158
2023/2/16,subway,10.67253909
2023/2/17,subway,9.855232293
2023/2/18,subway,9.037925488
2023/2/19,subway,9.453786546
2023/2/20,subway,9.869647604
2023/2/21,subway,10.32060515
2023/2/22,subway,10.77156268
2023/2/23,subway,10.40989308
2023/2/24,subway,10.5981053
2023/2/25,subway,10.78631751
2023/2/26,subway,11.52441154
2023/2/27,subway,20.10271634
2023/2/28,subway,18.48002582
2023/3/1,subway,22.32680349
2023/3/2,subway,28.01927247
2023/3/3,subway,31.05681363
2023/3/4,subway,34.0943548
2023/3/5,subway,32.92135025
2023/3/6,subway,28.2958498
2023/3/7,subway,23.67034937
2023/3/8,subway,29.52501451
2023/3/9,subway,37.19488251
2023/3/10,subway,41.72354799
2023/3/11,subway,46.25221348
2023/3/12,subway,43.71145285
2023/3/13,subway,41.17069222
2023/3/14,subway,33.72031006
2023/3/15,subway,34.25643174
2023/3/16,subway,34.79255343
2023/3/17,subway,47.89302311
2023/3/18,subway,48.52957901
2023/3/19,subway,42.93417802
2023/3/20,subway,37.33877703
2023/3/21,subway,36.57293965
2023/3/22,subway,35.80710226
2023/3/23,subway,33.82143553
2023/3/24,subway,37.56792105
2023/3/25,subway,41.31440658
2023/3/26,subway,39.84995596
2023/3/27,subway,38.38550533
2023/3/28,subway,35.35632715
2023/3/29,subway,37.14062788
2023/3/30,subway,31.56246813
2023/3/31,subway,39.7819729
2023/4/1,subway,33.26388175
2023/4/2,subway,39.45445662
2023/4/3,subway,33.80836946
2023/4/4,subway,28.1622823
